"AluminumFerriteGap [mm]","FerriteCoilGap [mm]","Freq [kHz]","secondaryYOffset [mm]","K []","Isc []","Voc [H]"
2,2,150,0,0.121500738908909,2.27020633698086,15.5509463830123
2,2,150,25,0.109665443874885,2.0510472904843,13.9784985336176
2,2,150,50,0.0777455931641276,1.45009191367527,9.87705631891174
3,2,150,0,0.122739900874648,2.29820597563626,15.8647094182925
3,2,150,25,0.110677396308392,2.07384017530497,14.2529707599582
3,2,150,50,0.0782710293615283,1.46939946307192,10.0026512367044
4,2,150,0,0.123844756778098,2.33487762918731,16.0555369708904
4,2,150,25,0.111806325824234,2.10163213523985,14.5124512963418
4,2,150,50,0.0790409346747118,1.48302488460412,10.2237449195817
5,2,150,0,0.124834406010394,2.3559680313909,16.3261948730822
5,2,150,25,0.11271337380668,2.13139229933471,14.6588728833297
5,2,150,50,0.0796252870559728,1.49890658330565,10.3558508828629
2,3,150,0,0.121765715046987,2.2746255300175,15.5143445635894
2,3,150,25,0.110089950162192,2.05094769577069,14.0382160977191
2,3,150,50,0.0777562050322166,1.44869375248827,9.86083111406442
3,3,150,0,0.123156586009511,2.30243316357872,15.8675638196286
3,3,150,25,0.110938352065419,2.06922679834899,14.2928967593765
3,3,150,50,0.078657675860529,1.46640327230839,10.0843555062553
4,3,150,0,0.12426618639568,2.3319605241921,16.116945785152
4,3,150,25,0.112039666749188,2.10598459715538,14.4676385557138
4,3,150,50,0.0796669943591999,1.49105235495426,10.2775374544267
5,3,150,0,0.125160672214536,2.36088369012424,16.2913303925838
5,3,150,25,0.112865260975879,2.11988007931554,14.7068568338633
5,3,150,50,0.080245685491999,1.50474438615273,10.4220773194576
2,4,150,0,0.122410525583018,2.27632519286394,15.6319661735683
2,4,150,25,0.11045370760094,2.04936024197853,14.0973204849984
2,4,150,50,0.0779559710337399,1.44292070746225,9.91348780398957
3,4,150,0,0.123540848839187,2.30591524584614,15.8814972720476
3,4,150,25,0.11175360055553,2.07332120053742,14.4282868061126
3,4,150,50,0.0787005657899591,1.46328540772323,10.0746078113753
4,4,150,0,0.124521043610343,2.32957255635807,16.1303017483031
4,4,150,25,0.112497895373342,2.09904409259938,14.5710192526843
4,4,150,50,0.0793686931007215,1.47991295019538,10.2309499265554
5,4,150,0,0.125363354429912,2.35420860739224,16.3064138718857
5,4,150,25,0.113388523422602,2.12333076943499,14.7609667633764
5,4,150,50,0.0802727603152923,1.50167213964756,10.3953179189909
2,5,150,0,0.122599539066558,2.26254204305318,15.7150166616947
2,5,150,25,0.110824995039604,2.049666499084,14.1420038463164
2,5,150,50,0.078109828078496,1.44198131484856,9.93178366124846
3,5,150,0,0.123839600389823,2.30135750725428,15.9199118072132
3,5,150,25,0.111565880549779,2.07412295538789,14.2931281543068
3,5,150,50,0.0792310653050641,1.46470195185759,10.1702061205164
4,5,150,0,0.124750588465552,2.32753396053208,16.132774073318
4,5,150,25,0.112684253013423,2.09777580379756,14.5610481339732
4,5,150,50,0.0794706486711033,1.47419929617172,10.2472154268727
5,5,150,0,0.125638129677239,2.3512390110238,16.322246700566
5,5,150,25,0.113490205790511,2.11723418879179,14.7512098569667
5,5,150,50,0.0803282645581196,1.50089382026324,10.3721836014993
